request_id,session_id,user_id,query_id,query_text,rank,original_rank,item_id,original_fusion_score,normalized_retrieval_score,category_affinity,subcategory_affinity,brand_affinity,price_affinity,personalized_score,profile_status,is_cold_start,behavior_relevance_grade,qrels_relevance_grade
req_000026,sess_000026,user_000023,query_000041,best hair care,1,1,item_000009,1.000000,1.000000,0.000000,0.000000,0.000000,0.733089,0.743985,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,2,2,item_000234,0.999782,0.999608,0.000000,0.000000,0.000000,0.569636,0.733904,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,3,3,item_000243,0.980008,0.964078,0.000000,0.000000,0.000000,0.652079,0.713979,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,4,9,item_000290,0.959350,0.926960,0.000000,0.000000,0.000000,0.953514,0.706083,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,5,4,item_000159,0.979580,0.963309,0.000000,0.000000,0.000000,0.512737,0.705081,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,6,13,item_000257,0.956805,0.922387,0.000000,0.000000,0.000000,0.757207,0.691103,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,7,15,item_000403,0.955516,0.920071,0.000000,0.000000,0.000000,0.761799,0.689757,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,8,14,item_000193,0.955781,0.920547,0.000000,0.000000,0.000000,0.529753,0.676168,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,9,12,item_000213,0.956805,0.922387,0.000000,0.000000,0.000000,0.456593,0.673066,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,10,10,item_000451,0.959214,0.926715,0.000000,0.000000,0.000000,0.360312,0.670319,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,11,5,item_000068,0.960679,0.929348,0.000000,0.000000,0.000000,0.315185,0.669454,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,12,6,item_000476,0.960679,0.929348,0.000000,0.000000,0.000000,0.242801,0.665111,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,13,7,item_000173,0.959350,0.926960,0.000000,0.000000,0.000000,0.264815,0.664761,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,14,8,item_000215,0.959350,0.926960,0.000000,0.000000,0.000000,0.255933,0.664228,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,15,11,item_000087,0.956805,0.922387,0.000000,0.000000,0.000000,0.236304,0.659849,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,16,17,item_000051,0.942512,0.896705,0.000000,0.000000,0.000000,0.449323,0.654653,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,17,16,item_000148,0.947748,0.906113,0.000000,0.000000,0.000000,0.304935,0.652575,warm,false,0,2
req_000026,sess_000026,user_000023,query_000041,best hair care,18,18,item_000226,0.446436,0.005351,0.000000,0.000000,0.000000,0.407958,0.028223,warm,false,0,1
req_000026,sess_000026,user_000023,query_000041,best hair care,19,19,item_000144,0.443458,0.000000,0.000000,0.000000,0.000000,0.219336,0.013160,warm,false,0,1
req_000026,sess_000026,user_000023,query_000041,best hair care,20,20,item_000500,0.443458,0.000000,0.000000,0.000000,0.000000,0.078447,0.004707,warm,false,0,1
req_000029,sess_000029,user_000100,query_000136,best car accessories,1,1,item_000403,0.500000,1.000000,0.000000,0.000000,0.000000,0.347841,0.720870,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,2,2,item_000051,0.472762,0.915041,0.000000,0.000000,0.000000,0.984051,0.699571,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,3,3,item_000159,0.431297,0.785705,0.000000,0.000000,0.000000,0.234119,0.564041,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,4,5,item_000476,0.411284,0.723281,0.000000,0.000000,0.000000,0.531753,0.538202,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,5,9,item_000451,0.398227,0.682555,0.000000,0.000000,0.000000,0.789110,0.525135,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,6,4,item_000068,0.411284,0.723281,0.000000,0.000000,0.000000,0.143915,0.514932,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,7,8,item_000257,0.402938,0.697249,0.000000,0.000000,0.000000,0.345745,0.508819,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,8,7,item_000213,0.402938,0.697249,0.000000,0.000000,0.000000,0.208483,0.500583,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,9,6,item_000087,0.402938,0.697249,0.000000,0.000000,0.000000,0.107898,0.494548,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,10,10,item_000193,0.397618,0.680655,0.000000,0.000000,0.000000,0.241888,0.490972,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,11,11,item_000148,0.379548,0.624292,0.000000,0.000000,0.000000,0.139235,0.445358,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,12,13,item_000009,0.345643,0.518537,0.000000,0.000000,0.000000,0.622851,0.400347,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,13,12,item_000234,0.351936,0.538166,0.000000,0.000000,0.000000,0.260099,0.392322,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,14,14,item_000243,0.323702,0.450100,0.000000,0.000000,0.000000,0.700231,0.357084,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,15,17,item_000290,0.284735,0.328556,0.000000,0.000000,0.000000,0.478866,0.258721,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,16,15,item_000173,0.284735,0.328556,0.000000,0.000000,0.000000,0.120916,0.237244,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,17,16,item_000215,0.284735,0.328556,0.000000,0.000000,0.000000,0.116860,0.237001,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,18,18,item_000289,0.218057,0.120577,0.000000,0.000000,0.000000,0.149024,0.093345,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,19,19,item_000218,0.210144,0.095895,0.000000,0.000000,0.000000,0.140179,0.075537,warm,false,0,0
req_000029,sess_000029,user_000100,query_000136,best car accessories,20,20,item_000120,0.179400,0.000000,0.000000,0.000000,0.000000,0.127025,0.007622,warm,false,0,0
