query_id,item_id,relevance_grade
query_000001,item_000016,3
query_000001,item_000053,2
query_000001,item_000063,2
query_000001,item_000080,2
query_000001,item_000082,3
query_000001,item_000094,3
query_000001,item_000099,2
query_000001,item_000107,2
query_000001,item_000116,3
query_000001,item_000134,3
query_000001,item_000135,3
query_000001,item_000149,2
query_000001,item_000161,3
query_000001,item_000168,2
query_000001,item_000169,3
query_000001,item_000177,3
query_000001,item_000194,3
query_000001,item_000198,3
query_000001,item_000202,3
query_000001,item_000206,2
query_000001,item_000225,2
query_000001,item_000250,2
query_000001,item_000254,2
query_000001,item_000263,2
query_000001,item_000281,2
query_000001,item_000291,3
query_000001,item_000292,2
query_000001,item_000308,3
query_000001,item_000312,3
query_000001,item_000326,2
query_000001,item_000330,2
query_000001,item_000340,2
query_000001,item_000361,3
query_000001,item_000364,2
query_000001,item_000369,3
query_000001,item_000377,3
query_000001,item_000378,2
query_000001,item_000382,2
query_000001,item_000384,3
query_000001,item_000388,2
query_000001,item_000396,2
query_000001,item_000400,2
query_000001,item_000412,2
query_000001,item_000413,3
query_000001,item_000418,3
query_000001,item_000433,2
query_000001,item_000466,2
query_000001,item_000467,2
query_000001,item_000490,2
query_000001,item_000498,3
query_000002,item_000005,2
query_000002,item_000020,2
query_000002,item_000024,2
query_000002,item_000060,2
query_000002,item_000064,2
query_000002,item_000072,2
query_000002,item_000073,2
query_000002,item_000075,2
query_000002,item_000088,2
query_000002,item_000093,2
query_000002,item_000096,2
query_000002,item_000102,2
query_000002,item_000109,2
query_000002,item_000112,2
query_000002,item_000150,2
query_000002,item_000180,2
query_000002,item_000190,2
query_000002,item_000208,2
query_000002,item_000209,2
query_000002,item_000210,2
query_000002,item_000212,2
query_000002,item_000220,2
query_000002,item_000223,2
query_000002,item_000235,2
query_000002,item_000240,2
query_000002,item_000247,2
query_000002,item_000275,2
query_000002,item_000283,2
query_000002,item_000299,2
query_000002,item_000310,2
query_000002,item_000320,2
query_000002,item_000321,2
query_000002,item_000323,2
query_000002,item_000334,2
query_000002,item_000337,2
query_000002,item_000343,2
query_000002,item_000344,2
query_000002,item_000346,2
query_000002,item_000352,2
query_000002,item_000355,2
query_000002,item_000360,2
query_000002,item_000362,2
query_000002,item_000373,2
query_000002,item_000385,2
query_000002,item_000410,2
query_000002,item_000419,2
query_000002,item_000430,2
query_000002,item_000468,2
query_000002,item_000472,2
query_000002,item_000492,2
query_000003,item_000001,2
query_000003,item_000016,1
query_000003,item_000053,1
query_000003,item_000063,1
query_000003,item_000080,1
query_000003,item_000082,1
query_000003,item_000094,1
query_000003,item_000099,1
query_000003,item_000107,1
query_000003,item_000116,1
query_000003,item_000134,1
query_000003,item_000135,1
query_000003,item_000149,1
query_000003,item_000161,1
query_000003,item_000168,1
query_000003,item_000169,1
query_000003,item_000177,1
query_000003,item_000194,1
query_000003,item_000198,1
query_000003,item_000202,1
query_000003,item_000206,1
query_000003,item_000225,1
query_000003,item_000250,1
query_000003,item_000254,1
query_000003,item_000263,1
query_000003,item_000281,1
query_000003,item_000291,1
query_000003,item_000292,1
query_000003,item_000308,1
query_000003,item_000312,1
query_000003,item_000326,1
query_000003,item_000330,1
query_000003,item_000340,1
query_000003,item_000361,1
query_000003,item_000364,1
query_000003,item_000369,1
query_000003,item_000377,1
query_000003,item_000378,1
query_000003,item_000382,1
query_000003,item_000384,1
query_000003,item_000388,1
query_000003,item_000396,1
query_000003,item_000400,1
query_000003,item_000412,1
query_000003,item_000413,1
query_000003,item_000418,1
query_000003,item_000433,1
query_000003,item_000466,1
query_000003,item_000467,1
query_000003,item_000490,1
query_000003,item_000498,1
query_000004,item_000021,3
query_000004,item_000028,3
query_000004,item_000029,2
query_000004,item_000032,2
query_000004,item_000034,2
query_000004,item_000044,2
query_000004,item_000054,2
query_000004,item_000059,3
query_000004,item_000074,2
query_000004,item_000091,2
query_000004,item_000106,2
query_000004,item_000108,2
query_000004,item_000115,2
query_000004,item_000120,3
