event_id,event_type,request_id,session_id,user_id,query_id,query_text,item_id,position,timestamp,click_duration_ms,add_to_cart_quantity,purchase_amount
event_00000001,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000225,1,2026-03-11T02:00:19.652672+00:00,,,
event_00000002,click,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000225,1,2026-03-11T02:00:26.094181+00:00,8508,,
event_00000003,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000291,2,2026-03-11T02:00:27.510730+00:00,,,
event_00000004,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000250,3,2026-03-11T02:00:28.428939+00:00,,,
event_00000005,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000467,4,2026-03-11T02:00:29.533208+00:00,,,
event_00000006,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000194,5,2026-03-11T02:00:30.694093+00:00,,,
event_00000007,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000326,6,2026-03-11T02:00:31.488639+00:00,,,
event_00000008,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000312,7,2026-03-11T02:00:32.381067+00:00,,,
event_00000009,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000263,8,2026-03-11T02:00:34.240357+00:00,,,
event_00000010,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000388,9,2026-03-11T02:00:36.200794+00:00,,,
event_00000011,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000378,10,2026-03-11T02:00:37.375799+00:00,,,
event_00000012,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000365,11,2026-03-11T02:00:39.301104+00:00,,,
event_00000013,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000066,12,2026-03-11T02:00:40.124590+00:00,,,
event_00000014,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000265,13,2026-03-11T02:00:40.988101+00:00,,,
event_00000015,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000434,14,2026-03-11T02:00:42.151097+00:00,,,
event_00000016,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000192,15,2026-03-11T02:00:43.528250+00:00,,,
event_00000017,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000078,16,2026-03-11T02:00:44.910728+00:00,,,
event_00000018,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000185,17,2026-03-11T02:00:45.362313+00:00,,,
event_00000019,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000393,18,2026-03-11T02:00:46.078009+00:00,,,
event_00000020,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000320,19,2026-03-11T02:00:46.311306+00:00,,,
event_00000021,impression,req_000001,sess_000001,user_000015,query_000123,TrailBlaze Women's Dresses,item_000392,20,2026-03-11T02:00:47.869262+00:00,,,
event_00000022,impression,req_000002,sess_000002,user_000084,query_000058,best men's shirts,item_000396,1,2026-02-04T20:19:22.675174+00:00,,,
event_00000023,impression,req_000002,sess_000002,user_000084,query_000058,best men's shirts,item_000250,2,2026-02-04T20:19:22.873765+00:00,,,
event_00000024,impression,req_000002,sess_000002,user_000084,query_000058,best men's shirts,item_000198,3,2026-02-04T20:19:23.392159+00:00,,,
event_00000025,impression,req_000002,sess_000002,user_000084,query_000058,best men's shirts,item_000377,4,2026-02-04T20:19:24.996375+00:00,,,
